video_id,trending_date,title,channel_title,category_id,publish_time,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,video_error_or_removed
vMLs3kIuhzA,17.14.11,Divya Agarwal Announces Official BREAK UP With Priyank Sharma | Exclusive,Lehren Small Screen,24,2017-11-11T09:13:14.000Z,655660,8505,868,1361,FALSE,FALSE,FALSE
P-pycrmifwU,17.14.11,Natural Star Nani REAL Behaviour Shocks You | Naga Chaitanya and Samantha Reception Video | NewsQube,NewsQube,24,2017-11-13T06:57:02.000Z,423009,1514,347,118,FALSE,FALSE,FALSE
jElRtesCnlA,17.14.11,Breaking News IT Raid - நடந்தது என்ன? சிக்கியது என்ன?,Sathiyam News,25,2017-11-13T07:59:26.000Z,33533,0,0,10,FALSE,TRUE,FALSE
q3eBCWAwVpo,17.14.11,"Brahmanandam @#ChaySam Wedding Reception || Naga Chaitanya, Samantha Akkineni Reception",NTV Telugu,25,2017-11-12T14:31:13.000Z,75834,160,15,9,FALSE,FALSE,FALSE
qP67alYxSiU,17.14.11,కెమెరాలో రికార్డ్ అయిన ఈ అద్భుతాన్ని చూస్తే ఆశ్చర్యపోతారు.. HOTNEWS TELUGU,HOTNEWS TELUGU,26,2017-11-12T03:53:49.000Z,128851,0,0,0,TRUE,TRUE,FALSE
1OTwWFJY_0I,17.14.11,[PWW] Plenty Wrong With BAHUBALI 2 (450 Mistakes In Baahubali 2) Full Movie | Bollywood Sins #29,Bollywood Sins,24,2017-11-12T04:22:38.000Z,156063,5406,534,1047,FALSE,FALSE,FALSE
01TgqDvqcyk,17.14.11,Rajj Ke Rona Main - Romy Tahlie | Latest Punjabi Songs 2017 | Tahliwood Records,Tahliwood Records,10,2017-11-11T01:32:00.000Z,1287771,52194,253,3122,FALSE,FALSE,FALSE
pbFr2Vb5hK0,17.14.11,Chunkzz Official Video Song | Ithu Nava Sumasara | Gopi Sundar | Omar Lulu | Honey Rose,Gopi Sundar Music Company,10,2017-11-13T12:36:32.000Z,56430,244,94,43,FALSE,FALSE,FALSE
JSkOecmAFFo,17.14.11,Girls On A Date ft. Komal Pandey | The Timeliners,The Timeliners,24,2017-11-11T09:32:05.000Z,793778,21956,1590,1661,FALSE,FALSE,FALSE
Yvp9jUJtMuY,17.14.11,Naa Show Naa Ishtam |Sathvik &Komali Sisters| 11th November 2017 | Full Episode 105 | ETV Plus,ETV Plus India,23,2017-11-11T17:27:05.000Z,309490,1560,200,108,FALSE,FALSE,FALSE
